	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	E211	E212	E213	E214	E215	E216	E217	E218	E219	E220	E221	E222	E223	E224	E225	E226	E227	E228	E229	E230	E421	E422	E423	E424	E425	E426	E427	E428	E429	E430	N501	N502	N503	N504	N505	N506	N507	W211	W212	W213	W214	W215	W216	W217	W218	W219	W220	W221	W222	W223	W224	W225	W226	W227	W228	W229	W230	W421	W422	W423	W424	W425	W426	W427	W428	W429	W430
fd496fd32dc8c08ade2e8b6c9d8ee13d	3	0	0	8	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	11	0	0	0	2	7	0	120	75	25	180	0	0	0	14	7	7	6	0	0	0	22	17	16	12	11	10	0	0	0	2853	0	3	4	0	0	0	0	0	0	0	0	0	0
aa9b3a1418d146c262ec63305292065a	0	0	7	12	8	0	6	7	0	0	0	16	0	0	10	0	4	0	0	14	0	0	0	0	6	0	0	0	0	0	0	39	12	13	0	4	12	0	37	0	136	187	132	264	46	0	1694	9	18	0	9	7	0	0	6	13	9	23	6	6	0	0	0	163	0	0	0	0	0	12	0	0	0	0	0	0	0
6110f28a1de867a9983a8a28ecf4e533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ab57145dee18233f4ec12aefc50f909d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e2334c442ede4042b256f4faa0de0af3	0	0	2	0	0	0	0	0	0	0	4	2	0	6	29	4	5	0	4	0	0	0	0	0	48	0	0	0	0	0	14	212	31	63	8	47	65	6	165	0	0	0	0	0	0	0	0	107	51	9	63	40	0	11	26	66	712	0	4	9	0	14	0	0	0	5	0	68	3	78	36	12	132	18	26	21	10
c35f665bd95ab81a5ca34ee89524dba5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	513	29	0	0	0	0	0	329	0	0	0	0	0	0	0	0	1141	0	0	0	0	0	0	0	0	0	0	0	0	0
820f6693f569e339f183638cd73a7fe6	0	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	12	0	9	9	2	17	0	17	129	28	91	0	0	14	31	34	8	8	9	0	0	10	19	22	0	9	6	4	6	4	1494	5	0	3	8	0	3	0	0	0	0	0	4	0
3ebe761bfb1238c87195d431f41bf976	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	370	15	0	15	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1618	0	0	0	0	0	0	0	0	0	0	0	0	0
0e2e91fba1ca9ed7de2d11ea4786c914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
e3c5834d1e81ff31ced7b347080f95de	0	82	0	18	0	133	0	23	7	31	0	0	0	0	0	0	0	0	0	24	0	0	0	0	13	0	11	0	0	0	0	26	14	99	0	7	0	0	22	0	0	0	0	0	0	0	0	329	64	33	83	98	0	0	60	43	59	32	62	53	20	0	32	0	0	11	0	132	0	38	0	0	79	43	136	60	18
361892dbd86eb085f447f95d087d928b	170	200	21	59	0	279	0	46	0	63	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	144	21	13	0	133	0	15	0	24	52	34	64	29	0	0	15	0	0	0	0	92	0	45	0	0	166	19	148	58	0
48782307120574c67aaa25ec7ce686ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	4	24	0	0	0	5	39	0	10	0	0	7	10	141	30	94	0	94	14	9	85	0	0	0	0	0	0	0	0	60	30	9	23	25	0	0	59	69	65	78	58	24	11	38	22	0	17	6	8	103	0	315	24	6	44	12	110	75	13
fd3b35179578688ec0f77b52bab1f7eb	0	1274	0	31	0	151	2	0	0	55	0	0	0	97	0	0	0	0	35	0	3	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	96	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
