	Id	strain	coCulture	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO_term
s1285	Ps_05575	Ps	coPa	65.6837872761495	-2.17799988345291	0.416671730154759	-5.23	1.72E-07	0.000125372379662	ND
s1286	Ps_00630	Ps	coPa	1764.50754995404	-2.17037147746017	0.683499061335421	-3.18	0.0015	0.043158176828485	ND
s1287	Ps_03351	Ps	coPa	1943.65188264874	-2.15806703956088	0.446216566954832	-4.84	1.32E-06	0.000498187679406	ND
s1290	Ps_05571	Ps	coPa	37.8228658793631	-2.07330269072002	0.613967734066174	-3.38	0.000733	0.028121870067486	ND
s1294	Ps_00758	Ps	coPa	245.16358206381	-1.99514622820505	0.552033952770883	-3.61	0.000301	0.015958356043596	ND
s1296	Ps_00923	Ps	coPa	1741.56586167673	-1.94234689371917	0.530612717873843	-3.66	0.000252	0.014097310954606	ND
s1297	Ps_02563	Ps	coPa	18851.1626232711	-1.93787460719682	0.604590828432973	-3.20526629922514	0.001349375747449	0.040566368862331	ND
s1299	Ps_01524	Ps	coPa	3387.29990225706	-1.90132441290688	0.537509969362127	-3.54	0.000404	0.018994054853303	ND
s1300	Ps_01934	Ps	coPa	1487.51555005131	-1.89609649593903	0.417156210335776	-4.55	5.49E-06	0.001105407261972	ND
s1305	Ps_01482	Ps	coPa	2385.9134519679	-1.78882640887574	0.510617054858109	-3.5	0.00046	0.020918685407722	ND
s1306	Ps_01610	Ps	coPa	1799.47597187622	-1.78640127356686	0.450683092139637	-3.96	7.38E-05	0.006140378308832	ND
s1307	Ps_01742	Ps	coPa	271.781166498449	-1.78379162811184	0.534632476567113	-3.34	0.000848	0.030513109113787	ND
s1308	Ps_05676	Ps	coPa	825.973678333339	-1.72989958005746	0.442975694941685	-3.91	9.42E-05	0.007032690863405	ND
s1311	Ps_00634	Ps	coPa	1090.70787713566	-1.68021215954647	0.541857614596995	-3.1	0.00193	0.048045693134588	ND
s1312	Ps_00661	Ps	coPa	487.076540707136	-1.67885687992657	0.540353221596669	-3.11	0.001890207490084	0.047467020850118	ND
s1317	Ps_01933	Ps	coPa	160.544105426573	-1.57172780018534	0.496190008900591	-3.17	0.00154	0.043436187299232	ND
s1320	Ps_00608	Ps	coPa	3721.48209471524	1.58978452202594	0.418488918826673	3.8	0.000145	0.009623358651828	ND
s1323	Ps_05714	Ps	coPa	54.7153983457803	1.64445138683328	0.379347646467804	4.33	1.46E-05	0.001572979162936	ND
