	AbxEa_9a	AbxEa_9b	AbxEa_9c	AbxEa_9d	AbxEa_9e	control_1a	control_1b	control_1c	control_1d	control_1e	Ea_2a	Ea_2b	Ea_2c	Ea_2d	Ea_2e	Ea_2f	Neg	PPE_8a	PPE_8b	PPE_8c	PPE_8d	PPE_8e	PPE_8f	PPE_8g	PPE_8h	sample1_1	sample1_10	sample1_2	sample1_3	sample1_4	sample1_5	sample1_6	sample1_7	sample1_8	sample1_9	sample2_1	sample2_10	sample2_2	sample2_3	sample2_4	sample2_5	sample2_6	sample2_7	sample2_8	sample2_9	sample3_1	sample3_10	sample3_2	sample3_3	sample3_4	sample3_5	sample3_6	sample3_7	sample3_8	sample3_9	sample4_1	sample4_10	sample4_2	sample4_3	sample4_4	sample4_5	sample4_6	sample4_7	sample4_8	sample4_9	sample5_1	sample5_10	sample5_2	sample5_3	sample5_4	sample5_5	sample5_6	sample5_7	sample5_8	sample5_9	sample6_1	sample6_10	sample6_2	sample6_3	sample6_4	sample6_5	sample6_6	sample6_7	sample6_8	sample6_9	sample7_1	sample7_10	sample7_2	sample7_3	sample7_4	sample7_5	sample7_6	sample7_7	sample7_8	sample7_9	sample8_1	sample8_10	sample8_2	sample8_3	sample8_4	sample8_5	sample8_6	sample8_7	sample8_8	sample8_9	sample9_1	sample9_10	sample9_2	sample9_3	sample9_4	sample9_5	sample9_6	sample9_7	sample9_8	sample9_9	water
6fac0e91c32830958a47cb0b24cf91a5	0.0	0.0	0.0	0.0	0.0	6349.0	30.0	0.0	8.0	86.0	0.0	0.0	862.0	308.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3e1719ca8e8f9829297af520c2338002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4441.0	0.0	0.0	16.0	0.0	0.0	0.0	4.0	0.0	0.0	933.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	64.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	585.0	3.0	0.0	0.0
6c201c31cd566da0ed2ffa6a70ce1fcf	0.0	413.0	155.0	133.0	258.0	594.0	561.0	1280.0	875.0	987.0	0.0	0.0	85.0	229.0	85.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105452bf566ab51bb27e807b3cfc932b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	11.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	18.0	0.0	87.0	5490.0	0.0	0.0	0.0	7.0	0.0
9e268e60d7ece50f8292e3a8b273b982	0.0	54.0	4.0	0.0	14.0	12.0	158.0	6.0	12.0	3859.0	34.0	35.0	0.0	0.0	217.0	3.0	0.0	87.0	0.0	36.0	0.0	8.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	3.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	2.0	0.0	14.0	0.0	151.0	5.0	19.0	0.0	0.0
51fd443e299022ab8b680cd6cb47cf61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	75.0	56.0	10.0	17.0	42.0	0.0	5.0	0.0	264.0	61.0	46.0	0.0	32.0	117.0	25.0	5.0	0.0	32.0	20.0	44.0	12.0	0.0	22.0	0.0	0.0	139.0	29.0	43.0	39.0	23.0	112.0	6.0	10.0	0.0	50.0	91.0	15.0	26.0	222.0	10.0	23.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	17.0	82.0	8.0	35.0	0.0	3.0	0.0	16.0	10.0	19.0	0.0	0.0	9.0	12.0	115.0	0.0	32.0	6.0	7.0	20.0	4.0	0.0	83.0	19.0	6.0	0.0	35.0	22.0	10.0	3.0	261.0	31.0	260.0	583.0	70.0	67.0	37.0	241.0	0.0
4cf9244a351a3af2464d1ca9d773bdbf	0.0	0.0	0.0	0.0	0.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9b9fe26565def5547220de71388c5da3	248.0	154.0	0.0	181.0	0.0	0.0	163.0	0.0	120.0	0.0	133.0	0.0	123.0	195.0	188.0	105.0	0.0	0.0	125.0	166.0	0.0	169.0	189.0	174.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
673c7d2dbbdcd628f8505446cc618859	0.0	0.0	7.0	0.0	0.0	0.0	0.0	68.0	19.0	2045.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	19.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c25afc3aaa4e3044b4ca0625a91b7e66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	7.0	0.0	0.0	0.0	0.0	76.0	0.0	80.0	1040.0	165.0	0.0	0.0	0.0	0.0
